N,X,Y,TAZ,TAZdist
32957,5998617.07000,2103903.94000,180,0.000
32958,6001158.28000,2103942.30000,178,0.000
32959,6000986.01000,2104262.67000,178,0.000
32960,5999607.80000,2103727.72000,178,0.000
32961,5997928.79000,2101840.63000,154,0.000
32962,5997930.48000,2101885.99000,154,0.000
32963,5997775.84000,2101887.34000,154,0.000
32964,5997627.05000,2101888.63000,154,0.000
32965,5997476.53000,2101889.94000,154,0.000
32966,5999673.35000,2102909.99000,167,0.000
32967,5999393.44000,2103931.93000,177,0.000
32969,5995383.51000,2093317.06000,916,0.000
32970,6001713.49000,2092629.28000,56,0.000
32971,6001608.68000,2092399.29000,56,0.000
32972,5999444.31000,2102351.61000,167,0.000
32973,5999258.82000,2102337.97000,167,0.000
32974,5999104.55000,2102259.33000,167,0.000
32975,5999790.54000,2102230.56000,178,0.000
32976,5996295.35408,2119838.93270,963,0.000
32977,5999849.66000,2101417.44000,477,0.000
32978,5999769.58000,2101307.78000,167,0.000
32979,5999756.11000,2101434.34000,178,0.000
32980,5997844.07000,2101360.95000,180,0.000
32981,5998743.19000,2100265.36000,167,0.000
32982,5998870.29000,2100227.78000,167,0.000
32983,5999570.01000,2102026.17000,167,0.000
32984,5999672.86000,2101558.18000,167,0.000
32985,5999186.39000,2102075.88000,167,0.000
32986,5999024.12000,2102012.51000,167,0.000
32987,5994078.35000,2101569.09000,482,0.000
32988,5995025.19000,2097046.49000,405,0.000
32989,5995009.60000,2096209.01000,405,0.000
32990,5995505.12000,2096416.38000,405,0.000
32991,5997824.76000,2096999.08000,436,0.000
32992,5998545.69000,2097035.68000,437,0.000
32993,5993533.98000,2098754.90000,109,0.000
32994,5993791.64000,2098589.19000,109,0.000
32995,5994739.96000,2097247.27000,103,0.000
32996,5999659.55000,2097552.56000,437,0.000
32997,5995122.09000,2099338.26000,118,0.000
32998,5995137.06000,2099322.23000,118,0.000
32999,5993565.13000,2097519.81000,103,0.000
33000,5996718.34000,2098489.54000,436,0.000
33001,5996301.10000,2099612.51000,122,0.000
33002,5994824.43000,2096052.80000,91,0.000
33003,5999025.92000,2098199.07000,437,0.000
33004,5992055.94000,2096519.57000,421,0.000
33005,5993627.16000,2096226.69000,91,0.000
33007,5993710.92000,2096310.28000,91,0.000
33008,5995622.51000,2096216.88000,405,0.000
33009,5996211.06000,2096183.07000,405,0.000
33010,5997567.86000,2095776.18000,436,0.000
33011,5998806.00000,2095579.12000,95,0.000
33013,5993804.63000,2096533.91000,420,0.000
33014,5994648.92000,2097878.85000,103,0.000
33015,5998288.24000,2096299.46000,95,0.000
33016,5991694.45000,2095967.41000,396,0.000
33017,5998886.34000,2096026.10000,95,0.000
33018,5994337.30000,2093060.27000,908,0.000
33019,5994338.51000,2092880.45000,908,0.000
33020,6000999.43000,2091824.93000,55,0.000
33021,5998936.38000,2096837.13000,437,0.000
33022,5995107.22000,2094484.50000,82,0.000
33023,6004608.37000,2106314.25000,212,0.000
33024,6004488.00000,2106988.50000,231,0.000
33025,6006883.69000,2109641.63000,578,0.000
33026,6005419.78000,2108240.67000,232,0.000
33027,6006745.55000,2108569.54000,579,0.000
33028,6008240.54000,2108338.28000,589,0.000
33029,6008334.66000,2108327.32000,590,0.000
33030,6008442.29000,2108325.53000,589,0.000
33031,6010331.05000,2108304.87000,599,0.000
33032,6010532.65000,2108196.05000,570,0.000
33033,6008645.58000,2108006.10000,568,0.000
33034,6005681.04000,2104023.87000,183,0.000
33039,6014264.13000,2106777.33000,557,0.000
33040,6010025.85000,2106904.03000,569,0.000
33041,6012839.02000,2107060.36000,572,0.000
33042,6014244.87000,2107142.84000,652,0.000
33046,6012535.09000,2102835.61000,166,0.000
33047,6013299.88000,2103812.74000,520,0.000
33048,6012860.41000,2101609.17000,152,0.000
33049,6012563.35000,2102225.26000,152,0.000
33050,6013683.32000,2101966.32000,152,0.000
33051,6014810.10000,2102029.23000,483,0.000
33054,6017303.34000,2102614.63000,522,0.000
33058,6016771.56000,2102134.64000,492,0.000
33059,6017051.18000,2102149.40000,492,0.000
33060,6017329.79000,2102164.10000,522,0.000
33061,6017609.41000,2102178.86000,522,0.000
33063,6016799.06000,2101666.24000,492,0.000
33064,6017078.68000,2101680.90000,492,0.000
33065,6014860.53000,2101130.97000,491,0.000
33066,6016239.82000,2101636.91000,492,0.000
33067,6011542.56000,2103715.36000,606,0.000
33071,6010706.62000,2105080.21000,540,0.000
33072,6011316.72000,2104169.56000,606,0.000
33074,6010733.65000,2104603.62000,540,0.000
33076,6011800.12000,2100491.67000,486,0.000
33078,6017358.30000,2101695.57000,492,0.000
33079,6017637.92000,2101710.23000,492,0.000
33081,6015174.99000,2100630.98000,491,0.000
33083,6011342.47000,2100465.73000,486,0.000
33084,6018829.70000,2097196.43000,444,0.000
33104,6018999.78000,2097424.40000,444,0.000
33105,6017213.92000,2098804.65000,494,0.000
33106,6014230.19000,2099579.18000,490,0.000
33107,6014070.83000,2099698.31000,489,0.000
