route_id,agency
BART PRE-TEST_Coliseum/Oakland Airport                    West Oakland,BART
BART PRE-TEST_Colma                                       19th St. Oakland,BART
BART PRE-TEST_Colma                                       24th St. Mission (SF),BART
BART PRE-TEST_Colma                                       Coliseum/Oakland Airport,BART
BART PRE-TEST_Colma                                       Millbrae,BART
BART PRE-TEST_Colma                                       North Concord/Martinez,BART
BART PRE-TEST_Colma                                       Powell St. (SF),BART
BART PRE-TEST_Colma                                       San Francisco International Airport,BART
BART PRE-TEST_Concord                                     16th St. Mission (SF),BART
BART PRE-TEST_Concord                                     19th St. Oakland,BART
BART PRE-TEST_Concord                                     24th St. Mission (SF),BART
BART PRE-TEST_Concord                                     Balboa Park (SF),BART
BART PRE-TEST_Concord                                     Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Concord                                     Coliseum/Oakland Airport,BART
BART PRE-TEST_Concord                                     El Cerrito del Norte,BART
BART PRE-TEST_Concord                                     Embarcadero (SF),BART
BART PRE-TEST_Concord                                     Fremont,BART
BART PRE-TEST_Concord                                     Fruitvale (Oakland),BART
BART PRE-TEST_Concord                                     Montgomery St. (SF),BART
BART PRE-TEST_Concord                                     North Concord/Martinez,BART
BART PRE-TEST_Concord                                     Orinda,BART
BART PRE-TEST_Concord                                     Pittsburg/Bay Point,BART
BART PRE-TEST_Concord                                     Pleasant Hill/Contra Costa Centre,BART
BART PRE-TEST_Concord                                     Powell St. (SF),BART
BART PRE-TEST_Concord                                     South Hayward,BART
BART PRE-TEST_Concord                                     Walnut Creek,BART
BART PRE-TEST_Daly City                                   Colma,BART
BART PRE-TEST_Daly City                                   Concord,BART
BART PRE-TEST_Daly City                                   Dublin/Pleasanton,BART
BART PRE-TEST_Daly City                                   El Cerrito del Norte,BART
BART PRE-TEST_Daly City                                   MacArthur (Oakland),BART
BART PRE-TEST_Daly City                                   North Berkeley,BART
BART PRE-TEST_Daly City                                   Powell St. (SF),BART
BART PRE-TEST_Daly City                                   San Francisco International Airport,BART
BART PRE-TEST_Daly City                                   South Hayward,BART
BART PRE-TEST_Daly City                                   West Oakland,BART
BART PRE-TEST_Downtown Berkeley                           12th St. Oakland City Center,BART
BART PRE-TEST_Downtown Berkeley                           19th St. Oakland,BART
BART PRE-TEST_Downtown Berkeley                           24th St. Mission (SF),BART
BART PRE-TEST_Downtown Berkeley                           Bay Fair (San Leandro),BART
BART PRE-TEST_Downtown Berkeley                           Daly City,BART
BART PRE-TEST_Downtown Berkeley                           Downtown Berkeley,BART
BART PRE-TEST_Downtown Berkeley                           Dublin/Pleasanton,BART
BART PRE-TEST_Downtown Berkeley                           El Cerrito Plaza,BART
BART PRE-TEST_Downtown Berkeley                           El Cerrito del Norte,BART
BART PRE-TEST_Downtown Berkeley                           Embarcadero (SF),BART
BART PRE-TEST_Downtown Berkeley                           Fremont,BART
BART PRE-TEST_Downtown Berkeley                           Fruitvale (Oakland),BART
BART PRE-TEST_Downtown Berkeley                           Glen Park (SF),BART
BART PRE-TEST_Downtown Berkeley                           Hayward,BART
BART PRE-TEST_Downtown Berkeley                           Lake Merritt (Oakland),BART
BART PRE-TEST_Downtown Berkeley                           MacArthur (Oakland),BART
BART PRE-TEST_Downtown Berkeley                           North Berkeley,BART
BART PRE-TEST_Downtown Berkeley                           North Concord/Martinez,BART
BART PRE-TEST_Downtown Berkeley                           Orinda,BART
BART PRE-TEST_Downtown Berkeley                           Pittsburg/Bay Point,BART
BART PRE-TEST_Downtown Berkeley                           Powell St. (SF),BART
BART PRE-TEST_Downtown Berkeley                           Richmond,BART
BART PRE-TEST_Downtown Berkeley                           South Hayward,BART
BART PRE-TEST_Downtown Berkeley                           Union City,BART
BART PRE-TEST_Downtown Berkeley                           West Dublin/Pleasanton,BART
BART PRE-TEST_Dublin/Pleasanton                           16th St. Mission (SF),BART
BART PRE-TEST_Dublin/Pleasanton                           Balboa Park (SF),BART
BART PRE-TEST_Dublin/Pleasanton                           Bay Fair (San Leandro),BART
BART PRE-TEST_Dublin/Pleasanton                           Castro Valley,BART
BART PRE-TEST_Dublin/Pleasanton                           Daly City,BART
BART PRE-TEST_Dublin/Pleasanton                           Downtown Berkeley,BART
BART PRE-TEST_Dublin/Pleasanton                           Embarcadero (SF),BART
BART PRE-TEST_Dublin/Pleasanton                           Montgomery St. (SF),BART
BART PRE-TEST_El Cerrito Plaza                            12th St. Oakland City Center,BART
BART PRE-TEST_El Cerrito Plaza                            24th St. Mission (SF),BART
BART PRE-TEST_El Cerrito Plaza                            Civic Center/UN Plaza (SF),BART
BART PRE-TEST_El Cerrito Plaza                            Downtown Berkeley,BART
BART PRE-TEST_El Cerrito Plaza                            Embarcadero (SF),BART
BART PRE-TEST_El Cerrito Plaza                            Montgomery St. (SF),BART
BART PRE-TEST_El Cerrito Plaza                            Powell St. (SF),BART
BART PRE-TEST_El Cerrito Plaza                            San Francisco International Airport,BART
BART PRE-TEST_El Cerrito Plaza                            San Leandro,BART
BART PRE-TEST_El Cerrito del Norte                        12th St. Oakland City Center,BART
BART PRE-TEST_El Cerrito del Norte                        19th St. Oakland,BART
BART PRE-TEST_El Cerrito del Norte                        Ashby (Berkeley),BART
BART PRE-TEST_El Cerrito del Norte                        Downtown Berkeley,BART
BART PRE-TEST_El Cerrito del Norte                        Dublin/Pleasanton,BART
BART PRE-TEST_El Cerrito del Norte                        Embarcadero (SF),BART
BART PRE-TEST_El Cerrito del Norte                        Glen Park (SF),BART
BART PRE-TEST_El Cerrito del Norte                        Hayward,BART
BART PRE-TEST_El Cerrito del Norte                        Montgomery St. (SF),BART
BART PRE-TEST_El Cerrito del Norte                        San Francisco International Airport,BART
BART PRE-TEST_El Cerrito del Norte                        South San Francisco,BART
BART PRE-TEST_Embarcadero (SF)                            12th St. Oakland City Center,BART
BART PRE-TEST_Embarcadero (SF)                            16th St. Mission (SF),BART
BART PRE-TEST_Embarcadero (SF)                            19th St. Oakland,BART
BART PRE-TEST_Embarcadero (SF)                            Ashby (Berkeley),BART
BART PRE-TEST_Embarcadero (SF)                            Colma,BART
BART PRE-TEST_Embarcadero (SF)                            Concord,BART
BART PRE-TEST_Embarcadero (SF)                            Downtown Berkeley,BART
BART PRE-TEST_Embarcadero (SF)                            Dublin/Pleasanton,BART
BART PRE-TEST_Embarcadero (SF)                            El Cerrito del Norte,BART
BART PRE-TEST_Embarcadero (SF)                            Fremont,BART
BART PRE-TEST_Embarcadero (SF)                            Glen Park (SF),BART
BART PRE-TEST_Embarcadero (SF)                            Hayward,BART
BART PRE-TEST_Embarcadero (SF)                            Lafayette,BART
BART PRE-TEST_Embarcadero (SF)                            Lake Merritt (Oakland),BART
BART PRE-TEST_Embarcadero (SF)                            MacArthur (Oakland),BART
BART PRE-TEST_Embarcadero (SF)                            Millbrae,BART
BART PRE-TEST_Embarcadero (SF)                            North Berkeley,BART
BART PRE-TEST_Embarcadero (SF)                            North Concord/Martinez,BART
BART PRE-TEST_Embarcadero (SF)                            Orinda,BART
BART PRE-TEST_Embarcadero (SF)                            Pittsburg/Bay Point,BART
BART PRE-TEST_Embarcadero (SF)                            Pleasant Hill/Contra Costa Centre,BART
BART PRE-TEST_Embarcadero (SF)                            Powell St. (SF),BART
BART PRE-TEST_Embarcadero (SF)                            Richmond,BART
BART PRE-TEST_Embarcadero (SF)                            Rockridge (Oakland),BART
BART PRE-TEST_Embarcadero (SF)                            San Francisco International Airport,BART
BART PRE-TEST_Embarcadero (SF)                            South San Francisco,BART
BART PRE-TEST_Embarcadero (SF)                            Union City,BART
BART PRE-TEST_Embarcadero (SF)                            West Oakland,BART
BART PRE-TEST_Fremont                                     12th St. Oakland City Center,BART
BART PRE-TEST_Fremont                                     19th St. Oakland,BART
BART PRE-TEST_Fremont                                     Bay Fair (San Leandro),BART
BART PRE-TEST_Fremont                                     Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Fremont                                     Concord,BART
BART PRE-TEST_Fremont                                     Downtown Berkeley,BART
BART PRE-TEST_Fremont                                     Dublin/Pleasanton,BART
BART PRE-TEST_Fremont                                     El Cerrito del Norte,BART
BART PRE-TEST_Fremont                                     Embarcadero (SF),BART
BART PRE-TEST_Fremont                                     Glen Park (SF),BART
BART PRE-TEST_Fremont                                     Hayward,BART
BART PRE-TEST_Fremont                                     Lake Merritt (Oakland),BART
BART PRE-TEST_Fremont                                     MacArthur (Oakland),BART
BART PRE-TEST_Fremont                                     Montgomery St. (SF),BART
BART PRE-TEST_Fremont                                     North Berkeley,BART
BART PRE-TEST_Fremont                                     North Concord/Martinez,BART
BART PRE-TEST_Fremont                                     Pittsburg/Bay Point,BART
BART PRE-TEST_Fremont                                     Powell St. (SF),BART
BART PRE-TEST_Fremont                                     Richmond,BART
BART PRE-TEST_Fremont                                     South Hayward,BART
BART PRE-TEST_Fruitvale (Oakland)                         12th St. Oakland City Center,BART
BART PRE-TEST_Fruitvale (Oakland)                         19th St. Oakland,BART
BART PRE-TEST_Fruitvale (Oakland)                         Ashby (Berkeley),BART
BART PRE-TEST_Fruitvale (Oakland)                         Downtown Berkeley,BART
BART PRE-TEST_Fruitvale (Oakland)                         Dublin/Pleasanton,BART
BART PRE-TEST_Fruitvale (Oakland)                         El Cerrito Plaza,BART
BART PRE-TEST_Fruitvale (Oakland)                         Embarcadero (SF),BART
BART PRE-TEST_Fruitvale (Oakland)                         Fremont,BART
BART PRE-TEST_Fruitvale (Oakland)                         Hayward,BART
BART PRE-TEST_Fruitvale (Oakland)                         MacArthur (Oakland),BART
