OBS_route_id,OBS_agency,GTFS1.8_route_id,GTFS1.8_agency,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Union City,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  West Oakland,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    12th St. Oakland City Center,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    19th St. Oakland,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    24th St. Mission (SF),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Ashby (Berkeley),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Castro Valley,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Downtown Berkeley,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Embarcadero (SF),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Fremont,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Hayward,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    MacArthur (Oakland),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Montgomery St. (SF),BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    North Berkeley,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    Richmond,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    San Francisco International Airport,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    South Hayward,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    South San Francisco,BART,,bart,
BART PRE-TEST_Coliseum/Oakland Airport                    West Oakland,BART,,bart,
BART PRE-TEST_Colma                                       19th St. Oakland,BART,,bart,
BART PRE-TEST_Colma                                       24th St. Mission (SF),BART,,bart,
BART PRE-TEST_Colma                                       Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_Colma                                       Millbrae,BART,,bart,
BART PRE-TEST_Colma                                       North Concord/Martinez,BART,,bart,
BART PRE-TEST_Colma                                       Powell St. (SF),BART,,bart,
BART PRE-TEST_Colma                                       San Francisco International Airport,BART,,bart,
BART PRE-TEST_Concord                                     16th St. Mission (SF),BART,,bart,
BART PRE-TEST_Concord                                     19th St. Oakland,BART,,bart,
BART PRE-TEST_Concord                                     24th St. Mission (SF),BART,,bart,
BART PRE-TEST_Concord                                     Balboa Park (SF),BART,,bart,
BART PRE-TEST_Concord                                     Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_Concord                                     Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_Concord                                     El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Concord                                     Embarcadero (SF),BART,,bart,
BART PRE-TEST_Concord                                     Fremont,BART,,bart,
BART PRE-TEST_Concord                                     Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_Concord                                     Montgomery St. (SF),BART,,bart,
BART PRE-TEST_Concord                                     North Concord/Martinez,BART,,bart,
BART PRE-TEST_Concord                                     Orinda,BART,,bart,
BART PRE-TEST_Concord                                     Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Concord                                     Pleasant Hill/Contra Costa Centre,BART,,bart,
BART PRE-TEST_Concord                                     Powell St. (SF),BART,,bart,
BART PRE-TEST_Concord                                     South Hayward,BART,,bart,
BART PRE-TEST_Concord                                     Walnut Creek,BART,,bart,
BART PRE-TEST_Daly City                                   Colma,BART,,bart,
BART PRE-TEST_Daly City                                   Concord,BART,,bart,
BART PRE-TEST_Daly City                                   Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Daly City                                   El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Daly City                                   MacArthur (Oakland),BART,,bart,
BART PRE-TEST_Daly City                                   North Berkeley,BART,,bart,
BART PRE-TEST_Daly City                                   Powell St. (SF),BART,,bart,
BART PRE-TEST_Daly City                                   San Francisco International Airport,BART,,bart,
BART PRE-TEST_Daly City                                   South Hayward,BART,,bart,
BART PRE-TEST_Daly City                                   West Oakland,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           12th St. Oakland City Center,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           19th St. Oakland,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           24th St. Mission (SF),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Daly City,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Downtown Berkeley,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           El Cerrito Plaza,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Embarcadero (SF),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Fremont,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Glen Park (SF),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Hayward,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Lake Merritt (Oakland),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           MacArthur (Oakland),BART,,bart,
