trip_list_id_num,person_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot
10248,46562,1926,1839,walk-transit-walk,work,4:13:00,4:13:00,departure,1
10249,46570,1984,828,walk-transit-walk,work,5:52:00,5:52:00,departure,15.02
10250,46574,186,1193,walk-transit-walk,work,5:55:00,5:55:00,departure,1
10251,46583,1742,1976,walk-transit-walk,work,5:28:00,5:28:00,departure,15.02
10252,46586,1872,939,walk-transit-walk,work,5:29:00,5:29:00,departure,1
10253,46588,65,811,walk-transit-walk,work,5:57:00,5:57:00,departure,6.81
10254,46592,1847,679,walk-transit-walk,work,5:01:00,5:01:00,departure,36.06
10255,46598,1989,403,walk-transit-walk,work,5:54:00,5:54:00,departure,10.02
10256,46600,1929,937,walk-transit-walk,work,5:52:00,5:52:00,departure,15.02
10257,46605,1986,357,walk-transit-walk,work,5:09:00,5:09:00,departure,1
10258,46609,156,1998,walk-transit-walk,work,5:44:00,5:44:00,departure,4.81
10259,46621,1870,286,walk-transit-walk,work,5:41:00,5:41:00,departure,1
10260,46623,35,568,walk-transit-walk,work,5:49:00,5:49:00,departure,14.02
10261,46642,156,684,walk-transit-walk,work,5:43:00,5:43:00,departure,1
10262,46644,1926,2018,walk-transit-walk,work,5:29:00,5:29:00,departure,10.22
10263,46653,1870,1968,walk-transit-walk,work,5:46:00,5:46:00,departure,1
10264,46655,1846,259,walk-transit-walk,work,5:44:00,5:44:00,departure,36.06
10265,46657,56,813,walk-transit-walk,work,6:46:00,6:46:00,departure,6.81
10266,46666,1847,939,walk-transit-walk,work,5:58:00,5:58:00,departure,21.03
10267,46668,165,745,walk-transit-walk,work,6:50:00,6:50:00,departure,1
10268,46669,1965,2065,walk-transit-walk,work,5:44:00,5:44:00,departure,15.02
10269,46671,1934,954,walk-transit-walk,work,5:15:00,5:15:00,departure,30.05
10270,46677,1733,648,walk-transit-walk,work,5:43:00,5:43:00,departure,1
10271,46686,170,1839,walk-transit-walk,work,5:14:00,5:14:00,departure,12.02
10272,46689,1846,2017,walk-transit-walk,work,5:27:00,5:27:00,departure,20.03
10273,46690,1870,744,walk-transit-walk,work,5:44:00,5:44:00,departure,1
10274,46693,45,2019,walk-transit-walk,work,6:51:00,6:51:00,departure,6.81
10275,46697,1929,648,walk-transit-walk,work,5:21:00,5:21:00,departure,10.22
10276,46706,1985,2019,walk-transit-walk,college,5:39:00,5:39:00,departure,1
10277,46710,1874,713,walk-transit-walk,other,,,departure,48.32
10278,46713,1984,2019,walk-transit-walk,college,6:15:00,6:15:00,departure,1
10279,46717,1840,684,walk-transit-walk,work,6:17:00,6:17:00,departure,14.02
10280,46718,1944,2152,walk-transit-walk,work,5:49:00,5:49:00,departure,15.02
10281,46719,1872,1863,walk-transit-walk,work,6:35:00,6:35:00,departure,1
10282,46721,911,1216,walk-transit-walk,work,6:55:00,6:55:00,departure,10.02
10283,46723,286,2145,walk-transit-walk,work,6:00:00,6:00:00,departure,1
10284,46724,1946,2018,walk-transit-walk,work,6:05:00,6:05:00,departure,15.02
10285,46728,1906,1968,walk-transit-walk,work,6:36:00,6:36:00,departure,15.02
10286,46737,1982,1945,walk-transit-walk,work,6:24:00,6:24:00,departure,10.02
