route_id,agency_id,route_short_name,route_long_name,route_type
14_CTEA,caltrain_shuttle,CTEA,CTEA,3
14_CTRS,caltrain_shuttle,CTRS,CTRS,3
14_CTRS_CLIP,caltrain_shuttle,CTRS_CLIP,CTRS_CLIP,3
14_CTWR_EXP,caltrain_shuttle,CTWR_EXP,CTWR_EXP,3
14_CTPS,caltrain_shuttle,CTPS,CTPS,3
14_CTWR_EXP_WB,caltrain_shuttle,CTWR_EXP_,CTWR_EXP__WB,3
14_CTCD_EMP_EB,caltrain_shuttle,CTCD_EMP_,CTCD_EMP__EB,3
14_CTCD_RES_WB,caltrain_shuttle,CTCD_RES_,CTCD_RES__WB,3
14_CTMVDA,caltrain_shuttle,CTMVDA,CTMVDA,3
14_CTDC_EB,caltrain_shuttle,CTDC_,CTDC__EB,3
14_CTMM_WB,caltrain_shuttle,CTMM_,CTMM__WB,3
14_CTNB_SB,caltrain_shuttle,CTNB_,CTNB__SB,3
14_CTBW_WB,caltrain_shuttle,CTBW_,CTBW__WB,3
14_CTEA_SB,caltrain_shuttle,CTEA_,CTEA__SB,3
14_CTEA2,caltrain_shuttle,CTEA2,CTEA2,3
14_CTEA2_NB,caltrain_shuttle,CTEA2_,CTEA2__NB,3
14_CTNA_EMP_WB,caltrain_shuttle,CTNA_EMP_,CTNA_EMP__WB,3
14_CTNA_RES_EB,caltrain_shuttle,CTNA_RES_,CTNA_RES__EB,3
14_CTNF_NB,caltrain_shuttle,CTNF_,CTNF__NB,3
14_CTOR_SB,caltrain_shuttle,CTOR_,CTOR__SB,3
14_CTBM,caltrain_shuttle,CTBM,CTBM,3
14_CTGN,caltrain_shuttle,CTGN,CTGN,3
14_CTGW_NB,caltrain_shuttle,CTGW_,CTGW__NB,3
14_CTGN_WB,caltrain_shuttle,CTGN_,CTGN__WB,3
14_CTWR_WB,caltrain_shuttle,CTWR_,CTWR__WB,3
52_930WB,cccta,930,930_WB,3
52_991EB,cccta,991,991_EB,3
52_970B.1,cccta,970B.1,970B.1,3
52_970B.2,cccta,970B.2,970B.2,3
52_960BNB1CC,cccta,960BNB1CC,960BNB1CC,3
52_960BNB2CC,cccta,960BNB2CC,960BNB2CC,3
52_960BNB3CC,cccta,960BNB3CC,960BNB3CC,3
52_960BNBMD,cccta,960BNBMD,960BNBMD,3
52_960BSB1CC,cccta,960BSB1CC,960BSB1CC,3
52_960BSB2CC,cccta,960BSB2CC,960BSB2CC,3
52_960BSBMD,cccta,960BSBMD,960BSBMD,3
52_960CNB1CC,cccta,960CNB1CC,960CNB1CC,3
52_960CNB2CC,cccta,960CNB2CC,960CNB2CC,3
52_960CNB3CC,cccta,960CNB3CC,960CNB3CC,3
52_960CSB1CC,cccta,960CSB1CC,960CSB1CC,3
52_960CSB2CC,cccta,960CSB2CC,960CSB2CC,3
52_960CSB3CC,cccta,960CSB3CC,960CSB3CC,3
52_920SB,cccta,920,920_SB,3
52_920NB,cccta,920,920_NB,3
52_920ASB,cccta,920A,920A_SB,3
52_920ANB,cccta,920A,920A_NB,3
52_930EB,cccta,930,930_EB,3
52_970B.3,cccta,970B.3,970B.3,3
52_970CNB,cccta,970C,970C_NB,3
52_970CSB,cccta,970C,970C_SB,3
51_101NB,cccta,101,101_NB,3
51_101SB,cccta,101,101_SB,3
51_101MD,cccta,101MD,101MD,3
51_102CC,cccta,102CC,102CC,3
51_104WC,cccta,104,104,3
51_105CC,cccta,105CC,105CC,3
51_106AM,cccta,106AM,106AM,3
51_106MD,cccta,106MD,106MD,3
51_107CC,cccta,107CC,107CC,3
51_108CC,cccta,108CC,108CC,3
51_109CC,cccta,109CC,109CC,3
51_110C,cccta,110C,110C,3
51_110K,cccta,110K,110K,3
51_110P,cccta,110P,110P,3
51_114AM,cccta,114AM,114AM,3
51_114MD,cccta,114MD,114MD,3
51_115CC,cccta,115CC,115CC,3
51_116CC,cccta,116CC,116CC,3
51_117CC,cccta,117CC,117CC,3
51_118CC,cccta,118CC,118CC,3
51_121CC,cccta,121CC,121CC,3
51_221CC,cccta,221CC,221CC,3
51_259SR,cccta,259S,259S_R,3
51_124CC,cccta,124CC,124CC,3
51_102A,cccta,102A,102A,3
51_111A,cccta,111A,111A,3
51_111B,cccta,111B,111B,3
51_119,cccta,119,119,3
51_206ASB,cccta,206A,206A_SB,3
51_206A1NB,cccta,206A1,206A1_NB,3
51_206A2NB,cccta,206A2,206A2_NB,3
51_106A,cccta,106A,106A,3
51_127CC,cccta,127CC,127CC,3
51_206LO,cccta,206L,206L_O,3
51_206LI,cccta,206L,206L_I,3
35_DBEB,scvta,DB,DB_EB,3
35_DBWB,scvta,DB,DB_WB,3
35_DB1WB,scvta,DB1,DB1_WB,3
35_DBMDEB,scvta,DBMD,DBMD_EB,3
35_DBMDWB,scvta,DBMD,DBMD_WB,3
35_DB1EB,scvta,DB1,DB1_EB,3
12_Powell,shuttle,Powell,Powell,3
12_HOLLISE,shuttle,HOLLISE,HOLLISE,3
12_HOLLISW,shuttle,HOLLISW,HOLLISW,3
62_1,fast,1,1,3
62_2,fast,2,2,3
62_3,fast,3,3,3
62_4,fast,4,4,3
62_5EB,fast,5,5_EB,3
62_5WB,fast,5,5_WB,3
62_6EB,fast,6,6_EB,3
62_6EBEXP,fast,6EBEXP,6EBEXP,3
62_6WB,fast,6,6_WB,3
62_7EB,fast,7,7_EB,3
62_7WB,fast,7,7_WB,3
63_220EB,fast,220,220_EB,3
63_220WB,fast,220,220_WB,3
63_30EBOP,fast,30EBOP,30EBOP,3
63_30EBP,fast,30EBP,30EBP,3
63_30WBOP,fast,30WBOP,30WBOP,3
63_30WBP,fast,30WBP,30WBP,3
64_40SB,fast,40,40_SB,3
64_40SB1,fast,40SB1,40SB1,3
64_40NB,fast,40,40_NB,3
64_40NB1,fast,40NB1,40NB1,3
82_GG29,golden_gate_transit,GG29,GG29,3
82_GG15SB,golden_gate_transit,GG15,GG15_SB,3
82_GG15NB,golden_gate_transit,GG15,GG15_NB,3
82_GG9EB,golden_gate_transit,GG9,GG9_EB,3
82_GG9WB,golden_gate_transit,GG9,GG9_WB,3
83_GG23A,golden_gate_transit,GG23A,GG23A,3
83_GG35,golden_gate_transit,GG35,GG35,3
83_GG53,golden_gate_transit,GG53,GG53,3
83_GG22SB,golden_gate_transit,GG22,GG22_SB,3
83_GG22NB,golden_gate_transit,GG22,GG22_NB,3
83_GG21SB,golden_gate_transit,GG21,GG21_SB,3
83_GG21NB,golden_gate_transit,GG21,GG21_NB,3
83_GG23B,golden_gate_transit,GG23B,GG23B,3
83_GG23C,golden_gate_transit,GG23C,GG23C,3
83_GG32,golden_gate_transit,GG32,GG32,3
83_GG33,golden_gate_transit,GG33,GG33,3
83_GG34,golden_gate_transit,GG34,GG34,3
83_GG36SB,golden_gate_transit,GG36,GG36_SB,3
83_GG36NB,golden_gate_transit,GG36,GG36_NB,3
83_GG55,golden_gate_transit,GG55,GG55,3
83_GG57SB,golden_gate_transit,GG57,GG57_SB,3
83_GG57NB,golden_gate_transit,GG57,GG57_NB,3
